cell_type	gene	n_frail	n_healthy_old_non_frail	log2cpm_difference	p_value	adj_p_value_bh	test
B	ATAD1	5	6	-0.8376031744212531	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	SUPT16H	5	6	-1.1965259665259502	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	HNRNPC	5	6	-0.2055273743092787	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ARMC10	5	6	0.95086306243808	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RNF4	5	6	-0.609851102845087	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CHRNA1	5	6	1.4778081005715311	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	DYNC1LI2	5	6	-0.866139789789643	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ASH2L	5	6	-0.5889724771292211	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	EXOSC1	5	6	-0.6306195261482399	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	BCL3	5	6	1.7714358889695845	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	EPHA4	5	6	-1.2129569039551393	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	UFSP2	5	6	-0.7340754318205307	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ANKRD37	5	6	0.7835067322685862	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	SAMD3	5	6	-2.3956795402222535	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	DCAF17	5	6	-0.8565221614338867	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CEP170	5	6	-0.5896991040105313	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	FAM102A	5	6	-1.0721455277854837	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	PHC3	5	6	-0.83306638729767	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	STX18	5	6	-0.8931534817499354	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	MPHOSPH8	5	6	-0.4655198402196481	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	IGKV3-20	5	6	0.7028420288805215	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RAB39B	5	6	-0.6336818692119435	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RPP30	5	6	-0.7911107169001292	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	FAM134A	5	6	0.5433114421941747	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	SNX19	5	6	-0.8849925330045192	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	IDI1	5	6	0.8722116592972684	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	DLuo2022	5	6	-0.6418715139657873	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	TRIP12	5	6	-1.161854550201518	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	LCOR	5	6	-0.6809909854431231	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CWF19L1	5	6	-0.7602431063382395	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	SLFN5	5	6	-2.6968211658563876	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RFFL	5	6	-1.363510564053339	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	APC	5	6	-0.8053275591093527	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	SRM	5	6	2.872596108479129	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RP11-362K14.5	5	6	-1.1952959295764156	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RNF187	5	6	1.3245796017281943	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ADARB2	5	6	1.854017895289468	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	SLC10A3	5	6	0.5108395062231796	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	FAM50A	5	6	1.3657636883770436	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
