cell_type	gene	n_frail_F	n_healthy_old_non_frail_F	mean_log2cpm_frail_F	mean_log2cpm_healthy_old_non_frail_F	log2cpm_difference_frail_minus_control_F_only	cliffs_delta	p_value	test	adj_p_value_bh
Monocyte_CD14	ACVR1B	5	3	2.126219413526692	3.5610057951634135	-1.4347863816367217	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AD000671.6	5	3	4.989607252996022	4.448719872279718	0.5408873807163035	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ADAR	5	3	6.347909154520899	7.1736500318947485	-0.8257408773738497	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ADCK3	5	3	3.0849343744305653	4.513162384255505	-1.4282280098249398	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ADCY4	5	3	0.965354984360211	1.6255230785790455	-0.6601680942188345	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ADCY7	5	3	4.247728719438541	5.149921984864371	-0.9021932654258302	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ADGRV1	5	3	1.2461028146097968	0.21577630038491638	1.0303265142248803	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ADIPOR2	5	3	3.8446105694961807	4.662231505067133	-0.8176209355709525	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ADORA2B	5	3	3.659594500906789	1.8218237503805996	1.8377707505261895	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ADPRM	5	3	1.5996869011745234	2.4194966233247728	-0.8198097221502494	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ADRBK1	5	3	6.499156349045466	7.462003286863484	-0.9628469378180187	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ADRBK2	5	3	4.4955088743133675	5.399992287151634	-0.9044834128382666	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AEBP2	5	3	3.2322233340485047	4.257212674219284	-1.0249893401707793	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AF213884.2	5	3	6.45810560383994	5.444476191427049	1.0136294124128904	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AFG3L2	5	3	4.831314465942735	5.832530902032947	-1.0012164360902123	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AFMID	5	3	1.5920705900329506	2.919688664929787	-1.3276180748968365	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AGBL5	5	3	3.256453990083229	4.197417487890298	-0.9409634978070684	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AGO1	5	3	3.791228373719084	4.6707065027430525	-0.8794781290239686	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AGPAT2	5	3	5.587057691555108	5.955980463219323	-0.3689227716642147	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AGPS	5	3	2.9977492130950187	4.150188661248323	-1.152439448153304	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AHDC1	5	3	1.3475091409287487	2.424596727597376	-1.0770875866686271	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AHNAK	5	3	8.961038764064046	10.027307248833267	-1.0662684847692212	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AIF1	5	3	10.59159620706887	10.226779037850495	0.3648171692183748	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
