cell_type	gene	n_donors	n_frail	n_healthy_old_non_frail	n_F_series	n_OH_series	coef_frail_vs_healthy_adjusted_for_OH	ci95_low	ci95_high	p_value_group	coef_OH_platform	p_value_platform	r_squared	test	adj_p_value_bh_group
Monocyte_CD14	AEBP2	11	5	6	8	3	-1.0249893401707804	-1.7171457149180318	-0.332832965423529	0.009156926950722058	-0.20742851438734977	0.5536850276900434	0.637765312475485	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06661986983276987
Monocyte_CD14	FRA10AC1	11	5	6	8	3	-1.0970524071596697	-1.8379555440090218	-0.3561492703103174	0.009162157768047898	-1.1551766382114033	0.01231617152129979	0.6387237389365774	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06661986983276987
Monocyte_CD14	JKAMP	11	5	6	8	3	-0.8218005126567283	-1.3768236652953858	-0.26677736001807084	0.009163288969274909	-0.5393792794573402	0.07996701035090115	0.5933203611354481	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06661986983276987
Monocyte_CD14	DDX51	11	5	6	8	3	-0.8073174286272604	-1.3526529420134916	-0.2619819152410293	0.009171245572801918	-0.7097419444144157	0.027737692631458196	0.6103267517505379	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06661986983276987
Monocyte_CD14	LIN7C	11	5	6	8	3	-0.5422892718414648	-0.9086146158353965	-0.17596392784753312	0.009173002518720844	0.27811950422687204	0.156000269779267	0.7850043388504935	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06661986983276987
Monocyte_CD14	TEF	11	5	6	8	3	-0.9633328046941062	-1.6141001212975383	-0.3125654880906741	0.009174432747160082	-0.2634410553818958	0.42797199997806845	0.6249088689931941	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06661986983276987
Monocyte_CD14	EHMT2	11	5	6	8	3	-1.1114641736499247	-1.8623026562092497	-0.3606256910905996	0.009174610740439702	-1.5169349875842046	0.003134885358430287	0.7045097902937268	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06661986983276987
Monocyte_CD14	GNAQ	11	5	6	8	3	-0.554960287729573	-0.9301075884541619	-0.179812987004984	0.009205419610843753	-0.8989697388181668	0.0011314738518281623	0.7578686675650376	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06680994273174523
Monocyte_CD14	EIF4E	11	5	6	8	3	1.9616798650132359	0.6352984684933642	3.2880612615331075	0.009216145204360218	0.4502674250241041	0.50366692697424	0.6321569667562783	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06685413983504966
Monocyte_CD14	CCNL2	11	5	6	8	3	-1.0898968430274578	-1.826924922174849	-0.3528687638800668	0.009222385749540504	0.058717592216772196	0.8735553916823509	0.690697711798075	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06686577420519034
Monocyte_CD14	KIAA1468	11	5	6	8	3	-1.3212715235173575	-2.2150319442282216	-0.4275111028064933	0.009236345232173152	0.42606348949098116	0.3542882459209126	0.7481197767307117	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06693239943755551
Monocyte_CD14	RP11-373D23.3	11	5	6	8	3	1.3075663711388532	0.4229737897600291	2.1921589525176772	0.009241756757912995	2.7335464347103917	0.0002150968842415378	0.8355873941194423	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06693239943755551
Monocyte_CD14	FAM160A2	11	5	6	8	3	-0.7511978509540413	-1.2594516728242633	-0.2429440290838193	0.009246769899000085	-0.2639925851838645	0.31528147125269135	0.6121763260792124	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06693239943755551
Monocyte_CD14	BMF	11	5	6	8	3	-1.2964886876026929	-2.173910651978187	-0.41906672322719896	0.009258941459915035	-1.866387182913055	0.0023259064671365573	0.7200301644160763	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06693239943755551
Monocyte_CD14	FAM72D	11	5	6	8	3	-0.7177091202986854	-1.2034510580757825	-0.23196718252158838	0.009260805716985943	0.3092040763590431	0.22561211902844935	0.7692433557793783	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06693239943755551
