cell_type	gene	n_frail	n_healthy_old_non_frail_F	log2cpm_difference	p_value	adj_p_value_bh	test
B	COPS5	5	3	-0.5598234981030981	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	COX7C	5	3	-0.2842955660843618	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CPQ	5	3	-0.7844412348365446	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CREBRF	5	3	-0.8081012620690808	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CRELD2	5	3	0.6883454960649225	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CRYZL1	5	3	-0.6667245257032413	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CSNK1G3	5	3	-1.209068996693289	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CSPP1	5	3	-1.1810277053270917	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CTD-2192J16.22	5	3	1.6241091725485512	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CUL4B	5	3	-0.9440015117070293	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CYP2R1	5	3	0.7114901256353914	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CYTH3	5	3	-0.9302338432206319	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	DBF4	5	3	-0.20370060849999572	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	DCAF10	5	3	-0.7188354746356076	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	DCP2	5	3	-0.8526980024341055	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	DDX17	5	3	-1.2141903227575783	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	DFNB31	5	3	-1.227511350317973	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	DHX29	5	3	-0.9496035976858712	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	DMTF1	5	3	-1.0836710217784251	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
